-0.33251  	-2.35322  	-1.04646  
-1.72442  	-0.55576  	-1.84365  
-1.61661  	-1.76477  	-0.97912  
-1.10890  	0.81385   	2.16641   
-0.48058  	-2.20809  	1.24280   
-1.08595  	2.34659   	0.11711   
-1.73249  	-1.88591  	0.49277   
0.55611   	0.44950   	-2.48775  
-2.53679  	0.57734   	0.24600   
2.49922   	0.66316   	0.30610   
0.45706   	-1.67134  	-1.92848  
2.13041   	1.12835   	-0.98876  
1.66255   	-1.38656  	1.39024   
-2.16246  	0.71022   	-1.23033  
1.19168   	0.83886   	2.17329   
0.36725   	-2.56448  	0.15102   
0.00000   	0.00000   	2.50881   
-0.38140  	-0.64531  	-2.46973  
-1.77291  	1.49225   	1.09150   
2.13003   	0.00000   	1.48096   
1.82454   	0.00041   	-1.86306  
-1.25533  	1.87289   	-1.28979  
-2.39131  	-0.71588  	0.69943   
0.06028   	1.69634   	-1.95061  
0.90819   	1.97093   	1.44905   
0.34552   	-1.40650  	2.15601   
1.10371   	2.10943   	-0.97790  
1.69894   	-1.96676  	-0.00082  
1.75010   	-1.40019  	-1.33145  
0.42763   	2.52986   	0.26152   
